drug,other,type
DB00952,P30939,DRUG_TARGETS
DB00952,P28221,DRUG_TARGETS
DB00952,P28222,DRUG_TARGETS
DB00952,P08908,DRUG_TARGETS
DB01410,P04150,DRUG_TARGETS
DB00950,P35367,DRUG_TARGETS
DB01099,P26358,DRUG_TARGETS
DB01099,P12461,DRUG_TARGETS
DB01097,P35869,DRUG_TARGETS
DB01097,Q14289,DRUG_TARGETS
DB01097,Q02127,DRUG_TARGETS
DB01091,Q14534,DRUG_TARGETS
DB06480,Q13639,DRUG_TARGETS
DB01259,P00533,DRUG_TARGETS
DB01259,P04626,DRUG_TARGETS
DB01256,Q9A1X4,DRUG_TARGETS
DB01254,P29317,DRUG_TARGETS
DB01254,P51692,DRUG_TARGETS
DB01254,P00519,DRUG_TARGETS
DB01254,P42684,DRUG_TARGETS
DB01254,P09619,DRUG_TARGETS
DB01254,P12931,DRUG_TARGETS
DB01254,P07947,DRUG_TARGETS
DB01254,P06239,DRUG_TARGETS
DB01254,P06241,DRUG_TARGETS
DB01254,P10721,DRUG_TARGETS
DB01077,Q13332,DRUG_TARGETS
DB01077,P38606,DRUG_TARGETS
DB01075,P35367,DRUG_TARGETS
DB01074,P23786,DRUG_TARGETS
DB01074,P50416,DRUG_TARGETS
DB01072,Q72874,DRUG_TARGETS
DB01176,P35367,DRUG_TARGETS
DB01176,P49888,DRUG_TARGETS
DB00672,Q09428,DRUG_TARGETS
DB01174,Q05586,DRUG_TARGETS
DB01174,Q13002,DRUG_TARGETS
DB01174,O15399,DRUG_TARGETS
DB01174,O60391,DRUG_TARGETS
DB01174,Q13224,DRUG_TARGETS
DB01174,Q12879,DRUG_TARGETS
DB01174,Q8TCU5,DRUG_TARGETS
DB01174,P14867,DRUG_TARGETS
DB01174,P36544,DRUG_TARGETS
DB01174,Q14957,DRUG_TARGETS
DB01174,P43681,DRUG_TARGETS
DB01174,P42262,DRUG_TARGETS
DB01173,Q05586,DRUG_TARGETS
DB01173,O15399,DRUG_TARGETS
DB01173,O60391,DRUG_TARGETS
DB01173,Q8TCU5,DRUG_TARGETS
DB01173,Q9Y5Y9,DRUG_TARGETS
DB01173,P35367,DRUG_TARGETS
DB01173,P23975,DRUG_TARGETS
DB01079,P28223,DRUG_TARGETS
DB01079,P28335,DRUG_TARGETS
DB01079,P41595,DRUG_TARGETS
DB01079,Q13639,DRUG_TARGETS
DB01171,P21397,DRUG_TARGETS
DB08604,P0AEK4,DRUG_TARGETS
DB08604,P0A5Y6,DRUG_TARGETS
DB08604,O24990,DRUG_TARGETS
DB08604,B0Q840,DRUG_TARGETS
DB08604,Q6GI75,DRUG_TARGETS
DB08167,Q8NMG3,DRUG_TARGETS
DB08167,P22303,DRUG_TARGETS
DB03575,Q8TCU5,DRUG_TARGETS
DB03575,Q99720,DRUG_TARGETS
DB00472,P31645,DRUG_TARGETS
DB00477,P19652,DRUG_TARGETS
DB00477,P18825,DRUG_TARGETS
DB00477,P02763,DRUG_TARGETS
DB00477,P28223,DRUG_TARGETS
DB00477,P35462,DRUG_TARGETS
DB00477,P11229,DRUG_TARGETS
DB00477,Q9H3N8,DRUG_TARGETS
DB00477,P34969,DRUG_TARGETS
DB00477,P35348,DRUG_TARGETS
DB00477,P21728,DRUG_TARGETS
DB00477,P08913,DRUG_TARGETS
DB00477,P14416,DRUG_TARGETS
DB00477,P28335,DRUG_TARGETS
DB00477,P18089,DRUG_TARGETS
DB00477,P21918,DRUG_TARGETS
DB00477,P41595,DRUG_TARGETS
DB00477,P35368,DRUG_TARGETS
DB00477,P35367,DRUG_TARGETS
DB00477,Q12809,DRUG_TARGETS
DB00477,P21917,DRUG_TARGETS
DB00477,P17405,DRUG_TARGETS
DB00477,P62158,DRUG_TARGETS
DB00477,P25100,DRUG_TARGETS
DB00477,P50406,DRUG_TARGETS
DB00477,P20309,DRUG_TARGETS
DB00477,P08908,DRUG_TARGETS
DB00478,P21430,DRUG_TARGETS
DB01001,P07550,DRUG_TARGETS
DB01001,P08588,DRUG_TARGETS
DB01006,P11511,DRUG_TARGETS
DB01004,P04293,DRUG_TARGETS
DB01004,P03176,DRUG_TARGETS
DB01005,P23921,DRUG_TARGETS
DB01558,Q9UN88,DRUG_TARGETS
DB01558,P24046,DRUG_TARGETS
DB01558,P28472,DRUG_TARGETS
DB01558,P18507,DRUG_TARGETS
DB01558,P18505,DRUG_TARGETS
DB01558,A8MPY1,DRUG_TARGETS
DB01558,O00591,DRUG_TARGETS
DB01558,O14764,DRUG_TARGETS
DB01558,P48169,DRUG_TARGETS
DB01558,P14867,DRUG_TARGETS
DB01558,P28476,DRUG_TARGETS
DB01558,Q8N1C3,DRUG_TARGETS
DB01558,P31644,DRUG_TARGETS
DB01558,P47870,DRUG_TARGETS
DB01558,Q16445,DRUG_TARGETS
DB01558,P47869,DRUG_TARGETS
DB01558,P34903,DRUG_TARGETS
DB01558,Q99928,DRUG_TARGETS
DB01558,P78334,DRUG_TARGETS
DB00573,P35354,DRUG_TARGETS
DB00573,P23219,DRUG_TARGETS
DB01009,P25024,DRUG_TARGETS
DB01009,P35354,DRUG_TARGETS
DB01009,P23219,DRUG_TARGETS
DB00575,P18825,DRUG_TARGETS
DB00575,P18089,DRUG_TARGETS
DB00575,P08913,DRUG_TARGETS
DB00575,P25100,DRUG_TARGETS
DB00575,P35368,DRUG_TARGETS
DB00575,P35348,DRUG_TARGETS
DB00751,P28223,DRUG_TARGETS
DB00751,P34969,DRUG_TARGETS
DB00751,P25021,DRUG_TARGETS
DB00751,P08913,DRUG_TARGETS
DB00751,P35367,DRUG_TARGETS
DB00751,P35348,DRUG_TARGETS
DB00619,P00519,DRUG_TARGETS
DB00619,P07333,DRUG_TARGETS
DB00619,A9UF02,DRUG_TARGETS
DB00619,O43519,DRUG_TARGETS
DB00619,P16234,DRUG_TARGETS
DB00619,Q08345,DRUG_TARGETS
DB00619,P09619,DRUG_TARGETS
DB00619,P04629,DRUG_TARGETS
DB00619,P10721,DRUG_TARGETS
DB00753,P48169,DRUG_TARGETS
DB00753,P98194,DRUG_TARGETS
DB00753,Q09470,DRUG_TARGETS
DB00753,P47869,DRUG_TARGETS
DB00753,Q16445,DRUG_TARGETS
DB00753,P78334,DRUG_TARGETS
DB00753,P18507,DRUG_TARGETS
DB00753,P18505,DRUG_TARGETS
DB00753,P30049,DRUG_TARGETS
DB00753,P14867,DRUG_TARGETS
DB00753,P28472,DRUG_TARGETS
DB00753,O00591,DRUG_TARGETS
DB00753,Q8N1C3,DRUG_TARGETS
DB00753,Q9UN88,DRUG_TARGETS
DB00753,P23415,DRUG_TARGETS
DB00753,O14764,DRUG_TARGETS
DB00753,P62158,DRUG_TARGETS
DB00753,P34903,DRUG_TARGETS
DB00753,P47870,DRUG_TARGETS
DB00753,P31644,DRUG_TARGETS
DB00753,Q99928,DRUG_TARGETS
DB00753,P42261,DRUG_TARGETS
DB00979,P11229,DRUG_TARGETS
DB00978,P11388,DRUG_TARGETS
DB00978,P43700,DRUG_TARGETS
DB00978,P43702,DRUG_TARGETS
DB00209,P11229,DRUG_TARGETS
DB00756,P06149,DRUG_TARGETS
DB00756,O14521,DRUG_TARGETS
DB00756,P00367,DRUG_TARGETS
DB00975,Q9Y233,DRUG_TARGETS
DB00975,P27815,DRUG_TARGETS
DB00975,P00813,DRUG_TARGETS
DB00975,O76074,DRUG_TARGETS
DB00205,P00374,DRUG_TARGETS
DB00205,P13922,DRUG_TARGETS
DB00204,O95069,DRUG_TARGETS
DB00204,Q12809,DRUG_TARGETS
DB00204,Q14500,DRUG_TARGETS
DB00203,P18545,DRUG_TARGETS
DB00203,Q13956,DRUG_TARGETS
DB00203,O76074,DRUG_TARGETS
DB00202,Q693P7,DRUG_TARGETS
DB00202,P08172,DRUG_TARGETS
DB00202,Q9GZZ6,DRUG_TARGETS
DB00202,P11229,DRUG_TARGETS
DB00202,P20309,DRUG_TARGETS
DB00201,Q01064,DRUG_TARGETS
DB00201,Q14432,DRUG_TARGETS
DB00201,Q9HCR9,DRUG_TARGETS
DB00201,Q9NP56,DRUG_TARGETS
DB00201,Q08493,DRUG_TARGETS
DB00201,O95263,DRUG_TARGETS
DB00201,P21817,DRUG_TARGETS
DB00201,P16499,DRUG_TARGETS
DB00201,Q08499,DRUG_TARGETS
DB00201,P78527,DRUG_TARGETS
DB00201,Q13946,DRUG_TARGETS
DB00201,O76083,DRUG_TARGETS
DB00201,O00408,DRUG_TARGETS
DB00201,Q13315,DRUG_TARGETS
DB00201,Q13370,DRUG_TARGETS
DB00201,P35913,DRUG_TARGETS
DB00201,P29274,DRUG_TARGETS
DB00201,P30542,DRUG_TARGETS
DB00201,O60658,DRUG_TARGETS
DB00201,P54750,DRUG_TARGETS
DB00201,P42338,DRUG_TARGETS
DB00201,P42336,DRUG_TARGETS
DB00201,Q14643,DRUG_TARGETS
DB00201,O76074,DRUG_TARGETS
DB00201,O00329,DRUG_TARGETS
DB00201,Q14123,DRUG_TARGETS
DB00201,P27815,DRUG_TARGETS
DB00201,Q9Y233,DRUG_TARGETS
DB00201,Q14571,DRUG_TARGETS
DB00201,Q14573,DRUG_TARGETS
DB00201,P51160,DRUG_TARGETS
DB00201,Q07343,DRUG_TARGETS
DB00972,P35367,DRUG_TARGETS
DB00683,Q9UN88,DRUG_TARGETS
DB00683,P24046,DRUG_TARGETS
DB00683,P28472,DRUG_TARGETS
DB00683,P18507,DRUG_TARGETS
DB00683,P18505,DRUG_TARGETS
DB00683,A8MPY1,DRUG_TARGETS
DB00683,O00591,DRUG_TARGETS
DB00683,O14764,DRUG_TARGETS
DB00683,P48169,DRUG_TARGETS
DB00683,P14867,DRUG_TARGETS
DB00683,P28476,DRUG_TARGETS
DB00683,Q8N1C3,DRUG_TARGETS
DB00683,P31644,DRUG_TARGETS
DB00683,P47870,DRUG_TARGETS
DB00683,Q16445,DRUG_TARGETS
DB00683,P47869,DRUG_TARGETS
DB00683,P34903,DRUG_TARGETS
DB00683,Q99928,DRUG_TARGETS
DB00683,P78334,DRUG_TARGETS
DB00687,P04150,DRUG_TARGETS
DB00687,P10275,DRUG_TARGETS
DB00687,P08235,DRUG_TARGETS
DB00686,P09038,DRUG_TARGETS
DB00686,P05230,DRUG_TARGETS
DB00686,P08620,DRUG_TARGETS
DB00685,P11388,DRUG_TARGETS
DB00685,P43700,DRUG_TARGETS
DB00685,P43702,DRUG_TARGETS
DB00373,P07550,DRUG_TARGETS
DB00373,P00720,DRUG_TARGETS
DB00373,P08588,DRUG_TARGETS
DB00962,P14867,DRUG_TARGETS
DB00962,P30536,DRUG_TARGETS
DB00371,Q9UN88,DRUG_TARGETS
DB00371,P28472,DRUG_TARGETS
DB00371,P18507,DRUG_TARGETS
DB00371,P18505,DRUG_TARGETS
DB00371,O00591,DRUG_TARGETS
DB00371,O14764,DRUG_TARGETS
DB00371,P48169,DRUG_TARGETS
DB00371,P14867,DRUG_TARGETS
DB00371,Q8N1C3,DRUG_TARGETS
DB00371,P31644,DRUG_TARGETS
DB00371,P47870,DRUG_TARGETS
DB00371,Q16445,DRUG_TARGETS
DB00371,P47869,DRUG_TARGETS
DB00371,P34903,DRUG_TARGETS
DB00371,Q99928,DRUG_TARGETS
DB00371,P78334,DRUG_TARGETS
DB00370,P18825,DRUG_TARGETS
DB00370,P28223,DRUG_TARGETS
DB00370,P08913,DRUG_TARGETS
DB00370,P35462,DRUG_TARGETS
DB00370,P46098,DRUG_TARGETS
DB00370,P34969,DRUG_TARGETS
DB00370,Q01959,DRUG_TARGETS
DB00370,P21728,DRUG_TARGETS
DB00370,P08588,DRUG_TARGETS
DB00370,P14416,DRUG_TARGETS
DB00370,P23975,DRUG_TARGETS
DB00370,Q9Y5N1,DRUG_TARGETS
DB00370,P41145,DRUG_TARGETS
DB00370,P28335,DRUG_TARGETS
DB00370,P41595,DRUG_TARGETS
DB00370,P21918,DRUG_TARGETS
DB00370,P35368,DRUG_TARGETS
DB00370,P35367,DRUG_TARGETS
DB00370,P31645,DRUG_TARGETS
DB00370,P35348,DRUG_TARGETS
DB00370,P25100,DRUG_TARGETS
DB00370,P07550,DRUG_TARGETS
DB00377,P46098,DRUG_TARGETS
DB00376,P08172,DRUG_TARGETS
DB00376,P08173,DRUG_TARGETS
DB00376,P08912,DRUG_TARGETS
DB00376,P11229,DRUG_TARGETS
DB00376,P20309,DRUG_TARGETS
DB00963,P35354,DRUG_TARGETS
DB00963,P23219,DRUG_TARGETS
DB00379,P35869,DRUG_TARGETS
DB00379,Q14524,DRUG_TARGETS
DB00276,P11388,DRUG_TARGETS
DB00276,Q12809,DRUG_TARGETS
DB00277,P27815,DRUG_TARGETS
DB00277,Q14432,DRUG_TARGETS
DB00277,O76074,DRUG_TARGETS
DB00277,Q92769,DRUG_TARGETS
DB00277,Q07343,DRUG_TARGETS
DB00277,P29274,DRUG_TARGETS
DB00277,P29275,DRUG_TARGETS
DB00277,P30542,DRUG_TARGETS
DB00293,Q05932,DRUG_TARGETS
DB00293,P04818,DRUG_TARGETS
DB00275,P30556,DRUG_TARGETS
DB06237,O76074,DRUG_TARGETS
DB00966,P30556,DRUG_TARGETS
DB00966,P37231,DRUG_TARGETS
DB00211,P35348,DRUG_TARGETS
DB00211,P25100,DRUG_TARGETS
DB00211,P35368,DRUG_TARGETS
DB00297,P34995,DRUG_TARGETS
DB00297,Q9Y5Y9,DRUG_TARGETS
DB00964,P08913,DRUG_TARGETS
DB00964,P35348,DRUG_TARGETS
DB00964,P18089,DRUG_TARGETS
DB04854,P47989,DRUG_TARGETS
DB04855,P54284,DRUG_TARGETS
DB04855,Q13936,DRUG_TARGETS
DB04855,P18825,DRUG_TARGETS
DB04855,Q12809,DRUG_TARGETS
DB04855,O95069,DRUG_TARGETS
DB04855,P25100,DRUG_TARGETS
DB04855,Q08289,DRUG_TARGETS
DB04855,P18089,DRUG_TARGETS
DB04855,P08588,DRUG_TARGETS
DB04855,P08913,DRUG_TARGETS
DB04855,Q02641,DRUG_TARGETS
DB04855,O00305,DRUG_TARGETS
DB04855,P35368,DRUG_TARGETS
DB04855,Q13698,DRUG_TARGETS
DB04855,O60840,DRUG_TARGETS
DB04855,Q01668,DRUG_TARGETS
DB04855,P35348,DRUG_TARGETS
DB04855,P35498,DRUG_TARGETS
DB00213,P20648,DRUG_TARGETS
DB00299,P06478,DRUG_TARGETS
DB00299,P04293,DRUG_TARGETS
DB04918,Q7DHH4,DRUG_TARGETS
DB04918,P14677,DRUG_TARGETS
DB04918,P0AD68,DRUG_TARGETS
DB08893,P13945,DRUG_TARGETS
DB00197,P11474,DRUG_TARGETS
DB00197,O60488,DRUG_TARGETS
DB00197,P62508,DRUG_TARGETS
DB00197,P37231,DRUG_TARGETS
DB00197,Q99808,DRUG_TARGETS
DB00197,P05121,DRUG_TARGETS
DB00196,P10613,DRUG_TARGETS
DB00195,P07550,DRUG_TARGETS
DB00195,P08588,DRUG_TARGETS
DB00191,P21397,DRUG_TARGETS
DB00191,P31645,DRUG_TARGETS
DB00191,P23975,DRUG_TARGETS
DB00191,Q01959,DRUG_TARGETS
DB00191,P27338,DRUG_TARGETS
DB00920,O60658,DRUG_TARGETS
DB00920,P52209,DRUG_TARGETS
DB00920,P27815,DRUG_TARGETS
DB00920,Q13946,DRUG_TARGETS
DB00920,Q9NP56,DRUG_TARGETS
DB00920,Q08493,DRUG_TARGETS
DB00920,O95263,DRUG_TARGETS
DB00920,Q07343,DRUG_TARGETS
DB00920,Q08499,DRUG_TARGETS
DB00920,P35367,DRUG_TARGETS
DB06698,P35367,DRUG_TARGETS
DB06698,Q9Y5N1,DRUG_TARGETS
DB09119,Q99571,DRUG_TARGETS
DB00328,Q8N8N7,DRUG_TARGETS
DB00328,Q07869,DRUG_TARGETS
DB00328,P35354,DRUG_TARGETS
DB00328,Q04760,DRUG_TARGETS
DB00328,P37231,DRUG_TARGETS
DB00328,Q9Y5Y4,DRUG_TARGETS
DB00328,P14555,DRUG_TARGETS
DB00328,P23219,DRUG_TARGETS
DB06691,P35367,DRUG_TARGETS
DB00996,Q05586,DRUG_TARGETS
DB00996,O15399,DRUG_TARGETS
DB00996,P54289,DRUG_TARGETS
DB00996,Q00975,DRUG_TARGETS
DB00996,O60391,DRUG_TARGETS
DB00996,Q13224,DRUG_TARGETS
DB00996,Q12879,DRUG_TARGETS
DB00996,Q8TCU5,DRUG_TARGETS
DB00996,Q14957,DRUG_TARGETS
DB00996,Q9NY47,DRUG_TARGETS
DB00996,P30542,DRUG_TARGETS
DB01217,P11511,DRUG_TARGETS
DB01628,P35354,DRUG_TARGETS
DB01215,Q9UN88,DRUG_TARGETS
DB01215,P24046,DRUG_TARGETS
DB01215,P28472,DRUG_TARGETS
DB01215,P18507,DRUG_TARGETS
DB01215,P18505,DRUG_TARGETS
DB01215,A8MPY1,DRUG_TARGETS
DB01215,O00591,DRUG_TARGETS
DB01215,O14764,DRUG_TARGETS
DB01215,P48169,DRUG_TARGETS
DB01215,P14867,DRUG_TARGETS
DB01215,P28476,DRUG_TARGETS
DB01215,Q8N1C3,DRUG_TARGETS
DB01215,P31644,DRUG_TARGETS
DB01215,P47870,DRUG_TARGETS
DB01215,Q16445,DRUG_TARGETS
DB01215,P47869,DRUG_TARGETS
DB01215,P34903,DRUG_TARGETS
DB01215,Q99928,DRUG_TARGETS
DB01215,P78334,DRUG_TARGETS
DB00990,P11511,DRUG_TARGETS
DB00855,P13716,DRUG_TARGETS
DB01356,P29218,DRUG_TARGETS
DB01356,P49841,DRUG_TARGETS
DB01356,O14732,DRUG_TARGETS
DB01356,P42263,DRUG_TARGETS
DB00999,P00918,DRUG_TARGETS
DB00999,P22748,DRUG_TARGETS
DB00999,P00915,DRUG_TARGETS
DB00999,P55017,DRUG_TARGETS
DB00999,Q16790,DRUG_TARGETS
DB00999,O43570,DRUG_TARGETS
DB00999,Q12791,DRUG_TARGETS
DB00998,P28221,DRUG_TARGETS
DB00998,P28222,DRUG_TARGETS
DB01039,O43923,DRUG_TARGETS
DB01039,Q07869,DRUG_TARGETS
DB00244,O15111,DRUG_TARGETS
DB00244,P09917,DRUG_TARGETS
DB00244,P05164,DRUG_TARGETS
DB00244,O14920,DRUG_TARGETS
DB00244,P35354,DRUG_TARGETS
DB00244,P0A5L8,DRUG_TARGETS
DB00244,P37231,DRUG_TARGETS
DB00244,P23219,DRUG_TARGETS
DB01033,P20839,DRUG_TARGETS
DB01033,P12268,DRUG_TARGETS
DB01033,Q06203,DRUG_TARGETS
DB01033,P00492,DRUG_TARGETS
DB01032,Q4U2R8,DRUG_TARGETS
DB01032,Q8TCC7,DRUG_TARGETS
DB01032,Q9NSA0,DRUG_TARGETS
DB01032,Q96RD7,DRUG_TARGETS
DB00257,P10613,DRUG_TARGETS
DB00257,O15554,DRUG_TARGETS
DB01037,P21397,DRUG_TARGETS
DB01037,P27338,DRUG_TARGETS
DB01264,Q72874,DRUG_TARGETS
DB01035,P26358,DRUG_TARGETS
DB01035,Q14524,DRUG_TARGETS
DB01611,Q9NR96,DRUG_TARGETS
DB01611,Q9NYK1,DRUG_TARGETS
DB00490,P14416,DRUG_TARGETS
DB00490,P08908,DRUG_TARGETS
DB00323,P21964,DRUG_TARGETS
DB01263,P10613,DRUG_TARGETS
DB00537,P20831,DRUG_TARGETS
DB00537,C3T8E2,DRUG_TARGETS
DB00537,B4YQT9,DRUG_TARGETS
DB00537,P0C1U9,DRUG_TARGETS
DB00537,Q12809,DRUG_TARGETS
DB00537,Q59192,DRUG_TARGETS
DB00537,P0AES4,DRUG_TARGETS
DB00537,P11388,DRUG_TARGETS
DB00537,P43700,DRUG_TARGETS
DB00537,P43702,DRUG_TARGETS
DB00537,P05653,DRUG_TARGETS
DB00536,P00720,DRUG_TARGETS
DB00536,P0A6E4,DRUG_TARGETS
DB00536,P05091,DRUG_TARGETS
DB00536,P78352,DRUG_TARGETS
DB00536,P07998,DRUG_TARGETS
DB00536,Q14353,DRUG_TARGETS
DB00536,P53608,DRUG_TARGETS
DB00530,P00533,DRUG_TARGETS
DB00530,O75469,DRUG_TARGETS
DB00533,P35354,DRUG_TARGETS
DB00533,P15502,DRUG_TARGETS
DB00532,Q14524,DRUG_TARGETS
DB01324,P55017,DRUG_TARGETS
DB00755,P00352,DRUG_TARGETS
DB00755,O94788,DRUG_TARGETS
DB00755,P51843,DRUG_TARGETS
DB00755,P28702,DRUG_TARGETS
DB00755,P48443,DRUG_TARGETS
DB00755,Q8NFJ5,DRUG_TARGETS
DB00755,P13631,DRUG_TARGETS
DB00755,P49788,DRUG_TARGETS
DB01143,P10696,DRUG_TARGETS
DB01143,P22413,DRUG_TARGETS
DB01141,A2QLK4,DRUG_TARGETS
DB00499,P10275,DRUG_TARGETS
DB00499,P35869,DRUG_TARGETS
DB08910,P35354,DRUG_TARGETS
DB08910,P01375,DRUG_TARGETS
DB08910,Q96SW2,DRUG_TARGETS
DB00321,P08173,DRUG_TARGETS
DB00321,P28221,DRUG_TARGETS
DB00321,P28222,DRUG_TARGETS
DB00321,P28223,DRUG_TARGETS
DB00321,P35372,DRUG_TARGETS
DB00321,P04629,DRUG_TARGETS
DB00321,O43525,DRUG_TARGETS
DB00321,O43526,DRUG_TARGETS
DB00321,P11229,DRUG_TARGETS
DB00321,Q09470,DRUG_TARGETS
DB00321,Q9H3N8,DRUG_TARGETS
DB00321,Q99720,DRUG_TARGETS
DB00321,P34969,DRUG_TARGETS
DB00321,P08912,DRUG_TARGETS
DB00321,P08913,DRUG_TARGETS
DB00321,P23975,DRUG_TARGETS
DB00321,P08172,DRUG_TARGETS
DB00321,P41145,DRUG_TARGETS
DB00321,P20309,DRUG_TARGETS
DB00321,Q9NZV8,DRUG_TARGETS
DB00321,P41143,DRUG_TARGETS
DB00321,P28335,DRUG_TARGETS
DB00321,P08588,DRUG_TARGETS
DB00321,P35368,DRUG_TARGETS
DB00321,P35367,DRUG_TARGETS
DB00321,P31645,DRUG_TARGETS
DB00321,Q9UK17,DRUG_TARGETS
DB00321,P35348,DRUG_TARGETS
DB00321,P13945,DRUG_TARGETS
DB00321,P25021,DRUG_TARGETS
DB00321,P25100,DRUG_TARGETS
DB00321,P50406,DRUG_TARGETS
DB00321,Q16620,DRUG_TARGETS
DB00321,P08908,DRUG_TARGETS
DB00321,P07550,DRUG_TARGETS
DB01149,P28223,DRUG_TARGETS
DB01149,P28335,DRUG_TARGETS
DB01149,Q01959,DRUG_TARGETS
DB01149,P08913,DRUG_TARGETS
DB01149,P35368,DRUG_TARGETS
DB01149,P31645,DRUG_TARGETS
DB01149,P23975,DRUG_TARGETS
DB01149,P35348,DRUG_TARGETS
DB01149,P08908,DRUG_TARGETS
DB01148,P08172,DRUG_TARGETS
DB01148,P11229,DRUG_TARGETS
DB01132,P37231,DRUG_TARGETS
DB00408,P18825,DRUG_TARGETS
DB00408,P28221,DRUG_TARGETS
DB00408,P28222,DRUG_TARGETS
DB00408,P28223,DRUG_TARGETS
DB00408,P35462,DRUG_TARGETS
DB00408,P46098,DRUG_TARGETS
DB00408,P47898,DRUG_TARGETS
DB00408,P28566,DRUG_TARGETS
DB00408,P11229,DRUG_TARGETS
DB00408,Q9H3N8,DRUG_TARGETS
DB00408,P34969,DRUG_TARGETS
DB00408,Q01959,DRUG_TARGETS
DB00408,P08912,DRUG_TARGETS
DB00408,P08913,DRUG_TARGETS
DB00408,P14416,DRUG_TARGETS
DB00408,P23975,DRUG_TARGETS
DB00408,P08172,DRUG_TARGETS
DB00408,P08173,DRUG_TARGETS
DB00408,P28335,DRUG_TARGETS
DB00408,P18089,DRUG_TARGETS
DB00408,P21918,DRUG_TARGETS
DB00408,P35368,DRUG_TARGETS
DB00408,P35367,DRUG_TARGETS
DB00408,P35348,DRUG_TARGETS
DB00408,P21917,DRUG_TARGETS
DB00408,P25021,DRUG_TARGETS
DB00408,P50406,DRUG_TARGETS
DB00408,P20309,DRUG_TARGETS
DB00408,P08908,DRUG_TARGETS
DB00408,P31645,DRUG_TARGETS
DB00408,P21728,DRUG_TARGETS
DB00408,P08588,DRUG_TARGETS
DB01130,P04150,DRUG_TARGETS
DB01131,P00374,DRUG_TARGETS
DB01131,P13922,DRUG_TARGETS
DB01136,P19320,DRUG_TARGETS
DB01136,P17302,DRUG_TARGETS
DB01136,P16581,DRUG_TARGETS
DB01136,Q16665,DRUG_TARGETS
DB01136,P18825,DRUG_TARGETS
DB01136,Q12809,DRUG_TARGETS
DB01136,P25100,DRUG_TARGETS
DB01136,P08588,DRUG_TARGETS
DB01136,P08913,DRUG_TARGETS
DB01136,P18089,DRUG_TARGETS
DB01136,P35368,DRUG_TARGETS
DB01136,O95298,DRUG_TARGETS
DB01136,P07550,DRUG_TARGETS
DB01136,P15692,DRUG_TARGETS
DB01136,P35348,DRUG_TARGETS
DB01136,P16860,DRUG_TARGETS
DB00612,P07550,DRUG_TARGETS
DB00612,P08588,DRUG_TARGETS
DB00401,Q13698,DRUG_TARGETS
DB00401,Q01668,DRUG_TARGETS
DB00401,Q13936,DRUG_TARGETS
DB00401,P54289,DRUG_TARGETS
DB00401,Q08289,DRUG_TARGETS
DB00404,Q9UN88,DRUG_TARGETS
DB00404,P28472,DRUG_TARGETS
DB00404,P18507,DRUG_TARGETS
DB00404,P18505,DRUG_TARGETS
DB00404,O00591,DRUG_TARGETS
DB00404,O14764,DRUG_TARGETS
DB00404,P48169,DRUG_TARGETS
DB00404,P14867,DRUG_TARGETS
DB00404,Q8N1C3,DRUG_TARGETS
DB00404,P31644,DRUG_TARGETS
DB00404,P47870,DRUG_TARGETS
DB00404,Q16445,DRUG_TARGETS
DB00404,P47869,DRUG_TARGETS
DB00404,P34903,DRUG_TARGETS
DB00404,Q99928,DRUG_TARGETS
DB00404,P78334,DRUG_TARGETS
DB00661,Q9P0X4,DRUG_TARGETS
DB00661,Q14524,DRUG_TARGETS
DB00661,P54284,DRUG_TARGETS
DB00661,Q12809,DRUG_TARGETS
DB00661,O00555,DRUG_TARGETS
DB00661,Q14654,DRUG_TARGETS
DB00661,Q08289,DRUG_TARGETS
DB00661,Q00975,DRUG_TARGETS
DB00661,Q13936,DRUG_TARGETS
DB00661,Q02641,DRUG_TARGETS
DB00661,O00305,DRUG_TARGETS
DB00661,O43497,DRUG_TARGETS
DB00661,P31645,DRUG_TARGETS
DB00661,Q13698,DRUG_TARGETS
DB00661,O60840,DRUG_TARGETS
DB00661,Q01668,DRUG_TARGETS
DB00927,P25021,DRUG_TARGETS
DB00924,P28223,DRUG_TARGETS
DB00889,P46098,DRUG_TARGETS
DB04890,P35367,DRUG_TARGETS
DB00669,P30939,DRUG_TARGETS
DB00669,P28221,DRUG_TARGETS
DB00669,P28222,DRUG_TARGETS
DB00669,P08908,DRUG_TARGETS
DB00884,P14324,DRUG_TARGETS
DB00887,P13569,DRUG_TARGETS
DB00887,Q13621,DRUG_TARGETS
DB00887,Q9UP95,DRUG_TARGETS
DB00887,P55011,DRUG_TARGETS
DB00887,Q9H2X9,DRUG_TARGETS
DB00880,P55017,DRUG_TARGETS
DB00880,P00918,DRUG_TARGETS
DB00880,P00915,DRUG_TARGETS
DB00880,P22748,DRUG_TARGETS
DB00393,P54284,DRUG_TARGETS
DB00393,P08235,DRUG_TARGETS
DB00393,P35869,DRUG_TARGETS
DB00393,Q08289,DRUG_TARGETS
DB00393,Q13936,DRUG_TARGETS
DB00393,Q02641,DRUG_TARGETS
DB00393,O00305,DRUG_TARGETS
DB00393,Q13698,DRUG_TARGETS
DB00393,O60840,DRUG_TARGETS
DB00393,Q01668,DRUG_TARGETS
DB00399,P14324,DRUG_TARGETS
DB00399,O95749,DRUG_TARGETS
DB00398,P35916,DRUG_TARGETS
DB00398,P35968,DRUG_TARGETS
DB00398,P04049,DRUG_TARGETS
